altitude,direction,distance,heading,latitude,local_time,longitude,matched_altitude,matched_heading,matched_latitude,matched_link_id,matched_longitude,mo_id,properties/L/Aircon_ACStatus_Front,properties/L/Aircon_AirRecirculationMode,properties/L/Aircon_FanStatus_Front,properties/L/Aircon_Mode_DR,properties/L/Aircon_RemoteControl_Status,properties/L/Aircon_TemperatureSetting_DR,properties/L/Aircon_TemperatureSetting_ValueType,properties/L/Brake_ParkingBrake (IG1PullUp),properties/L/MeterIndicator_ABS,properties/L/MeterIndicator_AutoStop_Amber,properties/L/MeterIndicator_BATT,properties/L/MeterIndicator_Brake_Amber,properties/L/MeterIndicator_Brake_Red,properties/L/MeterIndicator_CruiseControl,properties/L/MeterIndicator_CruiseMain,properties/L/MeterIndicator_DoorOpen,properties/L/MeterIndicator_ECO,properties/L/MeterIndicator_EPS,properties/L/MeterIndicator_Engine_Failure,properties/L/MeterIndicator_FrontFog,properties/L/MeterIndicator_HeadlightControl_Failure,properties/L/MeterIndicator_Headlight_High,properties/L/MeterIndicator_Headlight_Small,properties/L/MeterIndicator_LowFuel_GAS,properties/L/MeterIndicator_Oil_Pressure,properties/L/MeterIndicator_ParkingSensor_Amber,properties/L/MeterIndicator_PowerSystem_Failure,properties/L/MeterIndicator_SRS,properties/L/MeterIndicator_Seatbelt,properties/L/MeterIndicator_Seatbelt_RC,properties/L/MeterIndicator_Seatbelt_RL,properties/L/MeterIndicator_Seatbelt_RR,properties/L/MeterIndicator_SmartEntry,properties/L/MeterIndicator_SportMode,properties/L/MeterIndicator_TEMP_Cold_Hot,properties/L/MeterIndicator_TEMP_Hot,properties/L/MeterIndicator_TPMS_DWS,properties/L/MeterIndicator_VSA_Act,properties/L/MeterIndicator_Washer_Empty,properties/L/RemoteEngineStarter_PowerMode,properties/L/SeatBeltReminder_DR,properties/L/SeatBeltReminder_RC,properties/L/SeatBeltReminder_RL,properties/L/SeatBeltReminder_RR,properties/L/SeatbeltStatus_DR,properties/L/SecurityAlarm,properties/O/EngineCoolantTemp,properties/O/FuelLevel,properties/O/FuelLevelRaw,properties/O/VehicleInteriorTemperature,properties/O/ccMainSw,properties/O/distanceToEmpty,properties/O/engineRpm,properties/O/fuelMode,properties/O/fuelRatio,properties/O/ignitionOnTime,properties/O/meterIndicatorLowFuel,properties/O/odometer,properties/O/seatBeltStatus,properties/O/tcuAcc,properties/O/tcuAccuracy,properties/O/tcuBatteryVoltage,properties/O/tcuIgnitionStatus,properties/O/tripEndTime,properties/O/tripStartLat,properties/O/tripStartLong,properties/O/tripStartTime,properties/O/tripStatus,road_type,speed,timestamp,trip_id
,1,113.6185303,0,12.71219,2020-07-15T09:24:13.000+05:30,77.89142,,286.2426453,12.71242922,72361541,77.89149098,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,23,,4.12109375,25,OFF,0,0,Fail safe mode,0,2020-07-15T09:24:10Z,ON,4,,ON,12,11.8,ON,,,,,,5,0,1.59479E+12,
,1,113.6185303,0,12.71219,2020-07-15T09:24:16.000+05:30,77.89142,,286.2426453,12.71242922,72361541,77.89149098,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,23,,4.12109375,25,OFF,0,0,Fail safe mode,0,2020-07-15T09:24:10Z,ON,4,,ON,12,11.9,ON,,,,,,5,0,1.59479E+12,
,1,113.6185303,0,12.71219,2020-07-15T09:24:19.000+05:30,77.89142,,286.2426453,12.71242922,72361541,77.89149098,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,24,,4.12109375,,OFF,-,239,Fail safe mode,0,2020-07-15T09:24:10Z,OFF or blinking,4,,OFF,12,9.6,ON,,,,,,5,0,1.59479E+12,
0,1,113.6185303,0,12.71219,2020-07-15T09:24:20.000+05:30,77.89142,0,286.2426453,12.71242922,72361541,77.89149098,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,24,E,4.12109375,,OFF,-,238,Not fixed yet,0,2020-07-15T09:24:10Z,OFF or blinking,4,,ON,12,9.6,OFF,,,,,,5,0,1.59479E+12,
0,1,138.9075012,236.6000061,12.71203,2020-07-15T09:28:40.000+05:30,77.89113,0,286.2426453,12.71249316,72361541,77.89126743,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,24,E,4.140625,25,OFF,-,0,Not fixed yet,0,2020-07-15T09:28:40Z,OFF or blinking,4,,ON,58,11.7,OFF,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:35.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,,E,,26,,0,1400,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,,0.5,14.8,ON,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:38.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,23,,4.12109375,25,OFF,0,1538,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,12.9,ON,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:41.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,24,,4.12109375,25,OFF,0,1417,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,14.4,ON,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:44.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,24,,4.12109375,25,OFF,0,1438,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,14.8,ON,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:47.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,25,,4.12109375,26,OFF,0,1390,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,14.8,ON,,,,,,5,0,1.59479E+12,
